Race Number,Passes P1,Passes P2,Collisions,Choices,Proportion Ahead P1,Proportion Ahead P2,Win P1,Win P2,Progress P1,Progress P2,Out of Bounds P1,Out of Bounds P2,Progress Cost P1,Progress Cost P2,Bounds Cost P1,Bounds Cost P2,Proximity Cost P1,Proximity Cost P2,Initial X Position P1,Initial Y Position P1,Initial X Position P2,Initial Y Position P2,Adjustment Count P2
798,0,1,0,22,0.45,0.55,False,True,9,10,0,0,2.11,-2.32,1.01,4.02,1.36,0.15,960,230,884,157,4
799,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.18,2.5,0.08,3.06,0.68,0,498,170,382,360,6
800,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-2.92,3.04,0.2,5.57,2.03,0.85,446,222,376,401,5
801,1,1,0,22,0.95,0.05,True,False,9,10,0,0,-7.11,7.59,1.05,1.94,1.06,0.16,658,103,434,239,5
802,0,0,0,22,1,0,True,False,3,4,0,0,-4.97,5.29,0.82,2.31,1.18,0.29,723,749,926,659,11
803,0,1,0,22,0.82,0.18,False,True,3,4,0,0,-4.69,4.98,0.97,3.28,0.75,0.2,638,744,868,703,5
804,0,1,0,22,0.45,0.55,False,True,3,10,0,0,0.44,-0.65,2.15,4.02,1.49,0.14,447,629,527,700,5
805,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-5.58,5.84,0.82,1.58,2.28,0.56,375,428,464,649,6
806,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-1.23,1.25,1.69,2.05,1.04,0.17,715,100,560,132,8
807,0,0,0,22,1,0,True,False,9,10,0,0,-7.17,7.55,1.4,2.33,1.13,0.22,381,485,531,703,4
808,0,1,0,22,0.95,0.05,False,True,9,10,0,0,-7.77,8.22,1.49,1.92,0.66,0.16,930,195,674,101,5
809,0,1,0,22,0.45,0.55,False,True,10,10,5,0,0.74,-0.88,4.83,1.97,1.46,0.46,986,271,891,162,3
810,0,1,0,22,0.5,0.5,False,True,3,10,0,3,1.81,-1.94,0.79,3.9,0.72,0.19,463,648,543,710,5
811,0,0,0,22,1,0,True,False,9,10,0,0,-7.52,7.96,0.28,2.31,1.64,0.67,463,202,379,475,6
812,0,1,0,22,0.5,0.5,False,True,9,10,0,0,0.37,-0.28,0.25,3.55,2.55,1.67,510,161,413,273,6
813,0,1,0,22,0.5,0.5,False,True,9,11,0,0,3.51,-3.33,0.28,2.18,0.63,1.39,586,121,440,229,5
814,0,1,0,22,0.64,0.36,False,True,9,10,0,3,-1.27,1.4,0.35,4.01,0.63,0.22,385,505,440,620,9
815,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-4.41,4.73,0.33,3.28,1.27,0.15,1004,310,840,132,3
816,0,1,0,22,0.5,0.5,False,True,9,10,3,0,0.33,-0.46,4.26,1.97,1.41,0.47,377,386,393,532,3
817,0,1,0,22,0.59,0.41,False,True,3,11,0,0,-1.16,1.54,0.55,1.11,0.42,0.25,460,644,677,749,3
818,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-4.46,4.78,0.33,3.28,1.27,0.15,376,448,483,667,3
819,0,1,0,22,0.82,0.18,False,True,9,10,0,4,-3.42,3.53,0.49,4.07,2.04,0.78,525,151,399,302,6
820,0,1,0,22,0.45,0.55,False,True,9,10,0,0,1.96,-2.17,1.61,4.02,1.4,0.16,378,378,380,481,5
821,0,1,0,22,0.5,0.5,False,True,3,10,0,0,1.09,-1.06,0.67,2.17,2,1.1,446,628,559,718,7
822,0,0,0,22,1,0,True,False,9,10,0,0,-7.91,8.28,0.09,2.13,0.93,0.61,641,105,438,233,7
823,1,2,0,22,0.73,0.27,False,True,3,4,0,6,-2.55,2.46,0.13,5.68,1.54,0,439,619,542,709,9
824,0,1,0,22,0.5,0.5,False,True,9,10,0,0,1.17,-1.16,0.1,3.21,0.75,0.78,467,199,399,302,8
825,0,1,0,22,0.55,0.45,False,True,3,4,0,0,0.99,-1.13,0.26,3.04,1.54,0.99,592,732,716,750,5
826,0,0,0,22,0.95,0,False,False,9,10,0,0,-6.88,7.31,0.2,2.91,0.88,0.3,633,107,425,252,6
827,0,1,0,22,0.55,0.45,False,True,3,4,0,3,3.66,-3.7,0.17,3.89,1.01,0.38,976,597,1022,471,4
828,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.01,-6.95,0.3,2.44,0.72,0.28,487,179,396,311,2
829,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.36,2.43,0.32,4.67,1.49,0.56,782,110,594,118,4
830,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-0.56,0.54,0.36,5.2,1.22,0,978,257,905,173,7
831,1,2,0,22,0.64,0.36,False,True,9,10,0,0,-0.59,0.45,0.37,4.06,3.18,0.98,930,195,845,134,7
832,0,1,0,22,0.59,0.41,False,True,3,4,0,0,-1.71,1.71,0.14,4.53,1.83,0.57,634,743,793,736,5
833,0,1,0,22,0.64,0.36,False,True,3,10,0,0,-2.28,2.33,0.61,3.8,1.32,0.21,399,547,503,684,6
834,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.71,3.03,0.19,3.06,0.82,0,598,117,423,255,6
835,0,1,0,22,0.59,0.41,False,True,9,10,0,0,0.08,-0.2,1.19,3.34,0.72,0.45,376,447,411,574,6
836,0,1,0,22,0.68,0.32,False,True,3,4,0,4,-2.48,2.53,0.35,4.67,1.57,0.62,517,694,694,750,3
837,0,1,0,22,0.59,0.41,False,True,9,11,0,0,-1.08,1.48,1.72,1.11,0.34,0.22,394,316,405,562,4
838,0,0,0,22,1,0,True,False,9,10,0,0,-7.12,7.49,0.11,2.95,2.02,0.99,593,118,405,288,7
839,0,1,0,22,0.55,0.45,False,True,3,4,0,0,1.61,-1.67,0.07,3.24,0.96,0.67,967,610,1010,522,8
840,0,1,0,22,0.5,0.5,False,True,9,11,0,0,3.52,-3.34,0.27,2.18,0.47,1.33,508,163,397,308,5
841,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.51,7.14,0.38,2.68,1.66,1.17,968,241,717,100,7
842,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-7.19,7.75,0.11,2.83,1.43,0.96,702,750,957,624,6
843,0,1,0,22,0.45,0.55,False,True,9,10,0,0,2.05,-2.12,1.74,3.13,1.43,0.19,582,122,496,172,6
844,0,0,0,22,1,0,True,False,9,10,0,4,-7.03,7.51,0.09,3.87,1.32,0.85,420,260,395,537,4
845,0,1,0,22,0.95,0.05,False,True,9,10,0,3,-4.47,4.78,0.2,4.49,0.88,0.42,438,232,375,434,11
846,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.58,-6.51,0.3,2.44,0.69,0.21,404,291,377,457,2
847,0,1,0,22,0.55,0.45,False,True,9,10,0,0,0.36,-0.49,1.08,3.34,0.7,0.34,954,222,856,140,7
848,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.98,3.23,0.19,3.24,0.68,0.26,375,436,461,646,4
849,0,1,0,22,0.64,0.36,False,True,3,5,0,0,-2.39,2.74,1.67,0.71,2.79,3.09,679,749,917,667,6
850,0,1,0,22,0.86,0.14,False,True,9,10,0,4,-6.92,7.4,0.13,4.17,1.31,0.2,909,176,632,107,3
851,0,1,0,22,0.73,0.27,False,True,3,4,0,3,-5.25,5.73,0.1,3.39,2.42,2.59,450,632,686,750,7
852,1,2,0,22,0.68,0.27,False,True,9,10,0,0,-2.65,2.83,0.42,2.78,2.13,1.34,708,100,538,143,9
853,0,0,0,22,1,0,True,False,3,4,0,0,-8.14,8.59,0.09,3.57,1.02,0,727,749,966,612,5
854,0,1,0,22,0.5,0.5,False,True,9,10,0,0,1.46,-1.42,0.69,2.1,2.72,2.03,751,104,603,115,6
855,0,1,0,22,0.95,0.05,False,True,9,10,0,6,-6.62,6.97,0.1,4.88,1.27,0.19,1020,370,880,155,2
856,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.64,2.71,0.35,4.67,1.58,0.59,381,486,468,652,3
857,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.12,-7.07,0.3,2.44,0.74,0.3,758,105,599,116,2
858,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-3.71,3.93,0.81,0.66,3.3,3.5,484,182,384,350,6
859,0,1,0,22,0.55,0.45,False,True,9,10,0,3,1.51,-1.52,0.09,3.89,1.43,0.45,926,191,804,117,4
860,0,1,0,22,0.64,0.36,False,True,9,10,0,2,-3.13,3.42,0.11,4.59,0.73,0.14,721,101,513,160,5
861,0,1,0,22,0.64,0.36,False,True,9,10,0,0,-0.82,0.91,0.1,2.77,2.73,2.68,961,231,853,138,11
862,0,1,0,22,0.5,0.45,False,True,3,4,0,0,1.27,-1.33,0.1,3.24,1.09,0.99,878,697,950,633,9
863,0,1,0,22,0.68,0.32,False,True,9,10,0,6,-3.09,3.22,0.2,5.57,2.18,0.85,446,222,376,401,6
864,0,1,0,22,0.64,0.36,False,True,9,10,0,0,-0.78,0.68,0.45,2.58,1.62,0.87,426,250,378,380,9
865,0,1,0,22,0.5,0.5,False,True,3,10,0,0,1.36,-1.52,0.26,3.04,1.51,1.04,429,605,513,690,5
866,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-3.19,3.33,0.2,5.57,2,0.8,712,750,896,684,5
867,0,1,0,22,0.5,0.5,False,True,3,4,0,3,3.97,-4.01,0.11,3.89,0.98,0.4,845,716,949,634,4
868,0,1,0,22,0.68,0.32,False,True,3,4,0,9,-2.24,2.17,0.2,6.68,1.29,0,454,638,564,720,5
869,0,1,0,22,0.55,0.45,False,True,9,10,0,0,0.19,-0.27,0.71,3.75,1.48,0.14,1012,333,942,208,2
870,0,1,0,22,0.77,0.23,False,True,3,4,0,0,-3.67,4,0.1,2.09,1.58,1.56,424,596,613,738,7
871,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-5.48,5.68,0.24,2.12,2.91,2.04,808,119,554,135,4
872,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-5.49,5.81,0.4,2.66,1.58,0.73,1000,301,812,120,4
873,0,1,0,22,0.45,0.55,False,True,3,10,0,0,1.1,-1.3,0.8,4.02,1.38,0,409,570,473,657,5
874,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-2.38,2.28,0.73,3.17,2.19,1.54,437,234,387,337,12
875,0,1,0,22,0.77,0.23,False,True,9,10,0,4,-3.43,3.62,0.26,4.35,1.33,0.79,375,413,433,610,6
876,0,1,0,22,0.45,0.55,False,True,9,11,0,1,4.84,-4.79,0.32,2.35,0.52,0,530,148,409,281,1
877,0,1,0,22,0.55,0.45,False,True,3,10,0,2,0.87,-0.93,0.08,4.61,0.97,0.52,430,607,523,698,6
878,0,1,0,22,0.55,0.45,False,True,3,10,0,0,1.28,-1.35,0.48,2.91,0.83,0.53,1024,403,990,279,8
879,0,1,0,22,0.41,0.59,False,True,9,10,0,0,2.76,-2.91,0.05,4.52,1.35,0.27,659,103,572,126,4
880,0,1,0,22,0.91,0.09,False,True,9,10,0,4,-4.03,4.18,0.13,4.74,2.64,1.11,1008,323,888,160,6
881,0,1,0,22,0.45,0.55,False,True,9,10,0,0,1.65,-1.82,0.21,3.56,2.99,1.7,650,104,554,134,6
882,0,1,0,22,0.41,0.59,False,True,9,11,0,1,7.51,-7.48,0.3,2.44,0.79,0.39,1022,382,967,240,2
883,0,0,0,22,1,0,True,False,9,10,0,3,-6.36,6.67,0.13,4.64,1.12,0.36,375,428,464,649,6
884,0,0,0,22,1,0,True,False,9,10,0,0,-5.7,6,0.13,3.61,2.35,0.68,1004,310,840,132,6
885,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-3.54,3.84,0.47,2.45,1.12,0.18,866,704,1007,531,8
886,0,1,0,22,0.73,0.27,False,True,9,10,0,5,-1.45,1.34,0.21,6.64,1.23,0,508,163,431,242,8
887,0,0,0,22,1,0,True,False,9,10,0,4,-7.08,7.53,0.1,4,1.35,0.29,947,214,695,100,5
888,0,1,0,22,0.68,0.32,False,True,3,4,0,4,-2.65,2.72,0.35,4.67,1.58,0.59,927,657,1018,493,4
889,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-3.74,4.01,0.27,2.97,0.93,0.24,376,448,471,656,5
890,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.9,-6.84,0.3,2.44,0.71,0.26,794,114,632,107,2
891,0,1,0,22,0.68,0.27,False,True,9,10,0,6,-3.51,3.71,0.1,5.64,2.69,1.02,383,354,401,552,6
892,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-3.87,4.15,0.11,2.62,2.18,1.94,598,117,423,255,7
893,0,0,0,22,1,0,True,False,9,10,0,4,-7.12,7.57,0.1,4,1.33,0.28,1016,351,843,133,6
894,0,1,0,22,0.86,0.14,False,True,9,10,0,0,-4.86,5.01,0.11,1.99,2.99,3.01,390,328,403,557,8
895,0,0,0,22,1,0,True,False,9,10,0,3,-6.63,6.92,0.13,4.42,1.29,0.2,633,107,426,250,3
896,0,1,0,22,0.5,0.5,False,True,3,4,0,0,1.27,-1.26,0.1,3.21,0.74,0.82,832,722,931,653,8
897,0,1,0,22,0.5,0.5,False,True,3,10,0,2,1.3,-1.38,0.09,4.61,0.75,0.79,409,570,483,667,6
898,0,1,0,22,0.82,0.18,False,True,3,4,0,0,-4.78,5.1,0.13,3.46,1.94,0.68,406,564,584,728,6
899,0,1,0,22,0.68,0.32,False,True,9,10,0,3,-0.52,0.38,0.32,4.03,1.45,0.24,1015,344,956,224,8
900,0,1,0,22,0.86,0.14,False,True,9,10,0,3,-4.13,4.38,0.3,4.89,1.01,0.14,687,100,492,175,6
901,1,2,0,22,0.45,0.55,False,True,3,4,0,0,0.54,-0.78,1.05,4.2,2,0.26,621,740,712,750,4
902,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-7.23,7.57,1.05,1.86,1.54,0.14,435,614,669,749,4
903,0,1,0,22,0.86,0.14,False,True,9,10,2,0,-5.51,5.8,2.42,1.11,0.95,0.53,376,443,475,659,9
904,0,1,0,22,0.73,0.27,False,True,9,10,0,0,-4.32,4.56,2.07,1.5,1.38,0.54,1021,371,905,172,7
905,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.84,2.99,1.03,2.67,1.05,0.14,635,107,454,213,4
906,0,0,0,22,1,0,True,False,9,10,0,0,-6.95,7.27,1.24,1.61,1.96,0.29,491,176,375,411,6
907,0,1,0,22,0.41,0.59,False,True,9,10,0,0,3.14,-3.33,1.93,2.72,1.44,0.27,659,103,572,126,4
908,0,1,0,22,0.91,0.09,False,True,9,10,0,0,-6.55,6.82,1.89,1.85,1.38,0.28,381,361,427,602,4
909,0,1,0,22,0.55,0.45,False,True,3,4,0,0,0.41,-0.28,1.22,1.52,1.54,1.69,837,720,957,624,7
910,0,0,0,22,1,0,True,False,9,10,0,0,-7.21,7.65,0.67,2.27,0.9,0.36,947,214,695,100,6
911,0,0,0,22,1,0,True,False,3,1,0,15,-25.15,25.44,0.24,6.77,0.4,0.15,415,582,504,684,2
912,0,1,0,22,0.5,0.5,False,True,3,10,0,0,-0.04,-0.1,0.85,3.04,1.48,0.79,409,570,483,667,5
913,0,0,0,22,1,0,True,False,3,4,0,2,-7.52,8.07,0.4,2.55,0.64,0.33,702,750,957,624,8
914,0,0,0,22,1,0,True,False,9,2,0,0,-19.99,20.48,0.24,4.04,0.44,0.24,375,428,430,605,1
915,0,1,0,22,0.68,0.32,False,True,9,10,0,0,-2.15,2.24,0.36,1.06,3.06,4.28,558,133,418,264,9
916,0,0,0,22,1,0,True,False,9,10,0,0,-8.11,8.47,0.26,2.62,1.07,1.13,614,112,405,289,4
917,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.22,2.37,0.41,4.28,1.23,0.37,446,222,376,401,3
918,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.63,-6.55,0.31,2.44,0.69,0.22,402,554,505,685,2
919,0,1,0,22,0.82,0.18,False,True,9,10,0,4,-4.03,4.17,0.47,4.21,1.85,0.62,428,247,375,443,6
920,0,1,0,22,0.5,0.5,False,True,3,10,0,0,1.23,-1.23,0.1,3.21,0.75,0.8,1025,409,996,291,8
921,0,1,0,22,0.73,0.27,False,True,9,10,0,4,-2.85,3.02,0.28,4.28,2.27,1.14,973,249,823,124,7
922,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.81,-6.75,0.3,2.44,0.7,0.24,408,568,515,692,2
923,0,1,0,22,0.77,0.23,False,True,9,10,0,0,-5.01,5.34,0.35,3.28,1.49,0.15,761,106,519,155,4
924,0,1,0,22,0.5,0.5,False,True,9,10,0,0,1.25,-1.24,0.1,3.21,0.74,0.8,997,293,928,193,8
925,0,1,0,22,0.86,0.14,False,True,3,4,0,7,-4.2,4.39,0.25,5.56,1.15,0.14,673,749,876,698,4
926,0,0,0,22,1,0,True,False,3,4,0,0,-5.7,5.96,0.39,2.79,1.31,1.1,748,747,952,630,7
927,0,1,0,22,0.77,0.18,False,True,9,10,0,2,-6.08,6.64,0.8,2.53,0.93,0.45,945,211,691,100,6
928,0,1,0,22,0.68,0.32,False,True,3,4,0,0,-4.18,4.37,1.76,0.73,3.16,3.41,918,666,1025,437,8
929,0,1,0,22,0.55,0.45,False,True,9,10,0,3,3.91,-4.03,0.17,3.9,1.03,0.42,453,213,399,303,4
930,0,1,0,22,0.55,0.45,False,True,9,10,0,3,3.3,-3.32,0.17,3.89,1.15,0.24,871,149,739,102,3
931,0,1,0,22,0.64,0.36,False,True,9,10,0,2,-1.18,1.06,0.12,5.63,1.65,0.8,375,432,400,550,7
932,0,1,0,22,0.55,0.45,False,True,3,10,0,3,0.44,-0.46,0.75,3.89,1.51,0.46,463,648,577,726,7
933,0,0,0,22,1,0,True,False,9,10,0,0,-7.81,8.18,0.09,2.49,1.75,1.61,995,288,799,116,8
934,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-4.92,5.25,0.2,4.49,0.86,0.29,509,688,718,749,11
935,0,0,0,22,1,0,True,False,9,4,0,0,-8.83,9.29,0.09,0.87,1.08,1.82,376,454,525,699,10
936,0,1,0,22,0.77,0.23,False,True,3,4,0,2,-5.64,6.2,0.3,2.53,1.95,1.58,491,673,758,745,5
937,0,1,0,22,0.95,0.05,False,True,3,4,0,1,-5.4,5.74,0.1,4.37,0.68,0.14,397,542,561,719,6
938,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.54,-6.46,0.3,2.44,0.68,0.2,407,285,376,450,2
939,0,1,0,22,0.77,0.23,False,True,3,10,0,2,-5.57,6.14,0.26,2.53,1.65,1.3,395,537,594,732,5
940,0,1,0,22,0.41,0.59,False,True,3,11,0,1,6.53,-6.45,0.3,2.44,0.68,0.2,426,600,550,713,2
941,0,1,0,22,0.73,0.27,False,True,3,4,0,0,-3.96,4.25,0.11,2.62,2.19,1.92,630,742,853,712,7
942,0,1,0,22,0.68,0.32,False,True,9,10,0,4,-2.1,2.24,0.38,4.28,2.22,1.06,638,106,472,193,5
943,0,0,0,22,1,0,True,False,3,4,0,3,-6.28,6.58,0.16,4.64,1.05,0.35,921,664,1024,450,6
944,0,1,0,22,0.55,0.41,False,True,3,4,0,0,-1.35,1.27,1.28,3.47,1.64,0.51,468,652,546,711,6
945,0,1,0,22,0.45,0.55,False,True,9,10,0,0,1.16,-1.37,1.11,4.02,1.55,0.16,937,202,855,139,4
946,0,1,0,22,0.5,0.5,False,True,3,10,0,0,2.37,-2.41,0.5,2.04,2.35,1.66,1025,412,984,268,4
947,0,1,0,22,0.68,0.32,False,True,3,4,0,0,-3.43,3.86,0.25,3.33,0.86,0,820,727,987,577,7
948,0,1,0,22,0.95,0.05,False,True,3,4,0,4,-7.57,8.06,0.16,3.82,1.59,0.15,462,647,735,748,4
949,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-4.86,5.19,0.2,4.49,0.86,0.29,478,662,677,749,8
950,0,1,0,22,0.45,0.55,False,True,9,10,0,1,2.72,-2.79,0.19,3.99,0.99,0.27,1022,383,985,268,3
951,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.49,7.09,0.22,2.53,2.34,1.76,968,241,717,100,7
952,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.38,7.01,0.3,2.68,1.84,1.35,959,228,702,100,6
953,0,0,0,22,1,0,True,False,9,10,0,3,-3.17,3.23,0.12,5.57,0.96,0.34,954,222,856,140,13
954,0,1,0,22,0.64,0.36,False,True,9,10,0,0,0.41,-0.5,0.27,3.34,1.12,0.59,847,135,708,100,6
955,0,1,0,22,0.77,0.23,False,True,3,4,0,3,-4.61,4.95,0.3,3.82,1.56,1.16,409,569,572,724,8
956,0,1,0,22,0.55,0.45,False,True,3,4,0,0,1.01,-1.14,0.08,4.45,1.13,0.61,926,659,987,577,7
957,0,1,0,22,0.55,0.45,False,True,3,4,0,3,3.86,-3.89,0.11,3.89,1.01,0.38,976,597,1022,471,4
958,0,1,0,22,0.68,0.32,False,True,3,4,0,2,-1.33,1.25,0.56,4.61,1.29,0.14,842,718,949,633,6
959,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-6.17,6.77,0.26,2.53,1.47,1.17,382,356,453,636,5
960,0,1,0,22,0.45,0.55,False,True,9,11,0,1,5.15,-5.1,0.65,2.35,0.52,0,530,148,409,281,2
961,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.9,-6.87,0.1,2.44,0.95,0.37,1008,322,926,192,3
962,0,1,0,22,0.5,0.5,False,True,3,10,0,0,1.68,-1.72,0.07,2.04,3.4,2.66,385,506,454,637,5
963,0,1,0,22,0.86,0.14,False,True,3,4,0,2,-4.46,4.68,0.16,3.78,1.24,1.02,821,727,974,600,12
964,0,1,0,22,0.41,0.59,False,True,9,11,0,1,6.44,-6.35,0.3,2.44,0.68,0.19,930,196,783,111,2
965,0,1,0,22,0.5,0.45,False,True,9,10,0,0,3.61,-3.78,3.32,1.37,2.33,2.44,1022,379,961,232,5
966,0,1,0,22,0.95,0.05,False,True,3,4,0,0,-6.58,6.92,0.09,3.69,1.62,0.43,478,663,713,750,6
967,0,1,0,22,0.68,0.32,False,True,3,10,0,0,-2.61,2.87,0.08,3.24,0.82,0.39,387,511,520,696,4
968,0,1,0,22,0.82,0.18,False,True,3,5,0,0,-5.94,6.29,0.12,2.66,1.12,0.36,771,742,987,577,3
969,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-5.86,6.44,0.26,2.53,1.56,1.23,423,254,395,536,5
970,0,1,0,22,0.77,0.23,False,True,9,11,0,6,-5.4,5.7,0.24,4.93,0.48,0.14,539,143,381,361,3
971,0,0,0,22,1,0,True,False,3,4,0,4,-3.26,3.42,0.1,5.78,1.58,0.77,743,747,868,703,13
972,0,1,0,22,0.68,0.32,False,True,9,10,0,10,-2.73,2.8,0.1,6.46,2.22,0.89,1014,341,914,181,4
973,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-3.26,3.4,0.22,5.57,2.17,0.82,948,635,1024,455,6
974,0,1,0,22,0.73,0.27,False,True,9,10,0,5,-1.74,1.65,0.23,6.64,1.3,0.18,978,257,905,173,8
975,0,1,0,22,0.55,0.45,False,True,9,10,0,3,3.87,-3.9,0.11,3.89,1.01,0.39,443,227,384,347,5
976,0,1,0,22,0.95,0.05,False,True,3,4,0,3,-4.39,4.7,0.2,4.49,0.88,0.42,673,749,876,698,11
977,0,1,0,22,0.77,0.23,False,True,9,11,0,6,-5.4,5.7,0.24,4.93,0.48,0.14,539,143,381,361,3
978,0,1,0,22,0.68,0.32,False,True,9,10,0,1,-1.24,1.36,0.1,4.35,1.41,0.54,921,187,747,103,5
979,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-5.98,6.3,0.24,3.54,1.24,0.19,918,666,1025,437,4
980,0,1,0,22,0.5,0.5,False,True,3,4,0,4,0.58,-0.55,0.27,4.28,1.7,1.28,986,579,1025,432,4
981,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-6.76,7.02,0.24,2.54,1.49,0.54,521,696,789,738,4
982,0,0,0,22,1,0,True,False,9,10,0,4,-5.28,5.59,0.09,4.85,0.84,0.14,421,259,379,475,8
983,0,1,0,22,0.5,0.5,False,True,3,4,0,0,1.43,-1.44,0.08,3.21,0.72,0.85,896,684,976,596,8
984,0,1,0,22,0.82,0.14,False,True,3,4,0,0,-3.28,3.39,0.11,4.2,1.6,0.23,930,654,1015,507,11
985,0,1,0,22,0.86,0.14,False,True,3,4,0,8,-5.07,5.31,0.13,5.58,1.03,0.47,521,697,738,748,3
986,0,1,0,22,0.86,0.14,False,True,9,10,0,8,-5.15,5.4,0.13,5.58,1.01,0.45,375,423,451,634,4
987,0,1,0,22,0.55,0.45,False,True,3,4,0,0,0.99,-1.13,0.26,3.04,1.54,0.99,592,732,716,750,6
988,0,1,0,22,0.68,0.32,False,True,3,4,0,6,-1.21,0.98,0.1,5.74,1.27,0.29,490,673,575,725,6
989,0,1,0,22,0.59,0.41,False,True,9,10,0,0,2.72,-2.79,0.06,2.41,1.33,1.2,467,199,399,302,9
990,0,1,0,22,0.64,0.36,False,True,9,10,0,0,0.44,-0.52,0.28,3.34,1.12,0.59,847,135,708,100,6
991,0,0,0,22,1,0,True,False,3,4,0,3,-6.34,6.68,0.13,3.76,1.04,0.96,921,664,1024,450,8
992,0,1,0,22,0.64,0.36,False,True,3,10,0,3,-0.62,0.62,0.24,4.08,1.24,1.02,430,607,523,698,9
993,0,0,0,22,1,0,True,False,3,4,0,0,-8.06,8.46,0.3,1.93,1.38,1.11,518,694,778,740,5
994,0,1,0,22,0.64,0.36,False,True,3,4,0,0,-1.75,2.02,0.1,3.06,1.02,0.42,952,630,1025,437,6
995,0,1,0,22,0.86,0.14,False,True,3,4,0,0,-6.89,7.44,0.26,2.61,1.28,0.88,544,710,829,723,8
996,0,1,0,22,0.77,0.23,False,True,9,10,0,2,-5.54,6.1,0.22,2.53,1.66,1.3,376,405,479,663,5
997,0,1,0,22,0.45,0.55,False,True,9,10,0,0,5.29,-5.36,0.14,3.13,1.43,0.2,555,134,475,191,4
998,0,1,0,22,0.64,0.36,False,True,9,10,0,3,-0.79,0.92,0.32,4.01,0.62,0.21,962,233,868,147,8
999,0,1,0,22,0.45,0.55,False,True,9,11,0,1,5.01,-4.97,0.32,2.35,0.52,0,745,103,569,127,1
1000,0,0,0,22,1,0,True,False,9,10,0,0,-7.55,7.9,0.27,3.58,0.91,0.15,576,124,392,322,6
